dag,k,model,set,feature,f1,AUPRC,AUROC,Brier,ECE,seconds
NOTEARS,5,Logit,F,m,0.07504946052781833,0.059157507809970436,0.7390750839609372,0.21894476038080374,0.42320514405799825,0.343
NOTEARS,5,Logit,OF,m,0.11703120271207326,0.1349780231177011,0.8495913241276136,0.17100579561272705,0.3327485193933133,0.589
NOTEARS,5,Logit,F,mw,0.06689061571759373,0.05462640011726172,0.7104823548469387,0.2269021010042017,0.4371299531343079,0.289
NOTEARS,5,Logit,OF,mw,0.11635190793817854,0.13434269824221426,0.849885653051859,0.17147292148994647,0.3335020599135225,0.601
NOTEARS,5,Logit,F,m+mw,0.0751827845349485,0.05960788361583959,0.7407786053476816,0.21764555918823575,0.4190067167843551,0.337
NOTEARS,5,Logit,OF,m+mw,0.11691353577301081,0.13867511012280342,0.8502320794362103,0.17084439645582977,0.3321175020313649,0.676
NOTEARS,5,RandomForest,O,original,0.31424779427767824,0.4542154632477241,0.9112259482556265,0.0158712891856445,0.005424093281337729,17.576
NOTEARS,5,RandomForest,F,m,0.05895293501923883,0.21804565578656332,0.8604833782228163,0.019486183390207433,0.0071592766289892374,18.855
NOTEARS,5,RandomForest,OF,m,0.31684260276214504,0.4690514049827552,0.9209023065463985,0.015595238999781791,0.005713960719435076,21.252
NOTEARS,5,RandomForest,F,mw,0.05076884692658201,0.2263363970020768,0.8575565644241031,0.019439229463229492,0.007709996726828004,18.693
NOTEARS,5,RandomForest,OF,mw,0.3247507023881025,0.46410923250850455,0.9207415339926349,0.015645853038211702,0.005590750256664203,21.447
NOTEARS,5,RandomForest,F,m+mw,0.059133557151757346,0.21650920042480695,0.8537587177647922,0.019551688155259643,0.007861468544410723,35.463
NOTEARS,5,RandomForest,OF,m+mw,0.29590470852825584,0.4540229978334466,0.9138205849755574,0.015831692799873513,0.005356025371928626,38.202
NOTEARS,5,XGBoost,O,original,0.4448072841647158,0.4926046867005952,0.9227263926424693,0.014998535010819675,0.00871156269105181,25.197
NOTEARS,5,XGBoost,F,m,0.09859239995720767,0.23349732050848218,0.8766020343197765,0.01941252194140288,0.00859509461397672,20.872
NOTEARS,5,XGBoost,OF,m,0.4627999246242898,0.5246563998530265,0.9242799916018095,0.014679748158108718,0.009082643842213712,27.596
