Unnamed: 0,leverage_ratio,asset_liabilities,roe,asset_turnover,debt_ratio,debt_ratio2,roa,capitalization_ratio,longtermdebt_invcap,totaldebt_invcap,cash_debt,debt_ebitda,rect_turn,label
144,0.15373536288214346,0.32384145782568263,-0.016709147550269043,0.109,0.94,0.096,0.011,0.306,0.10022928267278088,0.20376870496951785,0.013,0.02134231887584705,0.008555668130136217,0
146,0.12505795657449514,0.3323504104804617,0.03964882469555367,0.074,0.918,0.065,0.022,0.0139999999999999,0.004585653455617393,0.16478847219656384,0.054,0.007898768626418787,0.007711358775188557,0
147,0.12707040613994414,0.32987484130242034,0.04248088360237893,0.076,0.926,0.093,0.02,0.2019999999999999,0.0661644284310514,0.19028265287271387,-0.008,0.011469478869986914,0.008443093549476529,0
148,0.12412078643372235,0.32848907231800234,0.038516001132823566,0.074,0.926,0.1,0.021,0.3329999999999999,0.10907304290861444,0.16682061703306855,-0.0139999999999999,0.01208528981602648,0.008443093549476529,0
149,0.1254130947331038,0.32790667538134705,0.03936561880487114,0.073,0.927,0.085,0.02,0.308,0.10088437602358336,0.14853131350452617,0.02,0.010739444925891623,0.00765507148485872,0
150,0.13085854649843642,0.32761385078477484,0.04389691305579156,0.08,0.93,0.1159999999999999,0.021,0.286,0.09367834916475597,0.21873268058377984,0.033,0.013853263177236846,0.00782393335584825,0
151,0.13238761357022363,0.3271919377971697,0.04276408949306145,0.091,0.931,0.122,0.021,0.264,0.0864723223059286,0.23813042675041568,-0.001,0.014911067463579003,0.008443093549476529,0
152,0.13228896408172125,0.32683183944682165,0.0433305012744265,0.102,0.931,0.124,0.019,0.239,0.07828365542089748,0.2512469979678552,0.016,0.01621469950660631,0.010131712259371834,0
153,0.12257198946423463,0.328769876338216,0.04134806003964882,0.119,0.926,0.13,0.02,0.207,0.06780216180805765,0.2564197302789581,-0.022,0.016676557716135985,0.012101767420916358,0
154,0.12003669760972288,0.3295323850189965,0.040215236476918714,0.124,0.924,0.136,0.022,0.185,0.06059613494923027,0.26898208017735087,0.072,0.016030949466255797,0.012720927614544637,0
155,0.12384456786591562,0.3294008283575847,0.03964882469555367,0.111,0.926,0.138,0.022,0.261,0.10972813625941698,0.3280990208756697,-0.011,0.015854648751865433,0.011538894517617922,0
156,0.13698467973443557,0.32815020465925515,0.040498442367601244,0.111,0.933,0.166,0.02,0.07,0.02292826727808713,0.42508775170884916,-0.037,0.02177934599884287,0.011032308904649332,0
157,0.1386814509366769,0.3247846657244385,0.045029736618521665,0.107,0.934,0.139,0.021,0.154,0.05044218801179168,0.32662109735821176,-0.011,0.017299817988135707,0.009287402904424182,0
158,0.12903353096114198,0.3265224776712654,0.04927782497875955,0.099,0.929,0.1669999999999999,0.026,0.142,0.046511627906976744,0.37206724552004433,-0.059,0.016569784044040414,0.008611955420466059,0
159,0.1334332981483491,0.32614844068276017,0.04701217785329935,0.094,0.931,0.141,0.026,0.148,0.04847690795938421,0.3232957694439313,-0.0069999999999999,0.013940171980105333,0.008386806259146685,0
160,0.14444258106521718,0.3259179268007178,0.037383177570093455,0.0969999999999999,0.936,0.141,0.021,0.209,0.06845725515886014,0.32181784592647333,-0.005,0.017034125362223474,0.008555668130136217,0
161,0.1369156250924839,0.3259081051488974,0.04304729538374398,0.107,0.933,0.135,0.023,0.191,0.06256141500163774,0.2996489931646038,0.019,0.01452370251365089,0.009287402904424182,0
162,0.1386123962947252,0.3263597744320937,0.030019824412347774,0.105,0.934,0.1369999999999999,0.02,0.1889999999999999,0.06190632165083521,0.30907075558839836,-0.009,0.017322165966016174,0.009062253743104808,0
163,0.12873758249563477,0.3271078181888458,0.03653355989804588,0.102,0.929,0.109,0.025,0.177,0.057975761546020306,0.23277295399963055,0.052,0.010873532793174429,0.009118541033434652,0
164,0.11460111079324055,0.32996122037962683,0.037666383460775985,0.091,0.921,0.11,0.03,0.157,0.05142482803799542,0.21577683354886384,0.039,0.009286826363661195,0.008443093549476529,0
165,0.10990539514052618,0.331617816075096,0.046445766071934264,0.088,0.918,0.148,0.034,0.428,0.14018997707173272,0.1893589506743026,-0.064,0.011370154523851499,0.00799279522683778,0
166,0.11186851996172399,0.3340093493983593,0.038516001132823566,0.076,0.919,0.159,0.03,0.207,0.06780216180805765,0.28745612414557553,0.013,0.014253043670431887,0.006698187549251379,0
167,0.11424597263463189,0.3308354283546128,0.027187765505522515,0.086,0.921,0.127,0.024,0.204,0.06681952178185391,0.2357288010345465,-0.015,0.013292080621571757,0.0069796240009005975,0
168,0.11899101303159743,0.3307934557007931,0.03653355989804588,0.086,0.923,0.193,0.027,0.36,0.11791680314444808,0.2985405505265103,-0.022,0.01820118642931459,0.0075987841945288764,0
169,0.1203326460752301,0.3300221024365778,0.044746530727839136,0.089,0.924,0.221,0.027,0.506,0.1657386177530298,0.2663957140217994,-0.019,0.01984748746650907,0.00765507148485872,0
170,0.12528485039805068,0.329506468141631,0.051260266213537235,0.092,0.927,0.242,0.03,0.6729999999999999,0.22043891254503764,0.20025863661555518,0.044,0.020798518080755658,0.008161657097827311,0
171,0.13050340833982774,0.32856448254193793,0.09345794392523364,0.158,0.93,0.273,0.059,0.725,0.2374713396659024,0.19711804914095696,0.055,0.011601083628616336,0.014015535292131039,0
172,0.13452830747072578,0.3273092350824195,0.01557632398753894,0.091,0.932,0.259,0.027,0.7020000000000001,0.2299377661316738,0.20894143728062076,-0.04,0.026251424683589878,0.008555668130136217,0
173,0.12178279355621542,0.3287497619137014,0.052109883885584816,0.09,0.925,0.221,0.0279999999999999,0.6779999999999999,0.22207664592204387,0.17531867725845188,0.115,0.019646355665584862,0.008049082517167624,0
174,0.11604139332537561,0.330280184220101,0.056074766355140186,0.079,0.922,0.216,0.031,0.675,0.2210940058958402,0.1653426935156106,-0.004,0.017637520764996112,0.006810762129911067,0
175,0.12450551943888172,0.3303685113974733,0.05635797224582268,0.069,0.927,0.217,0.0289999999999999,0.695,0.22764493940386504,0.1670053574727508,-0.013,0.01929375423680414,0.0059664527749634134,0
176,0.13130246919669722,0.32823488655751226,0.052393089776267346,0.063,0.93,0.231,0.027,0.725,0.2374713396659024,0.16792905967116203,0.026,0.021612977719066055,0.005572441742654509,0
